participant,stitch_type,count,avg_duration,std_duration,avg_yaw_range,std_yaw_range,avg_pitch_range,std_pitch_range,avg_roll_range,std_roll_range
user1_,ch,100,1227.6470588235297,160.35275973915623,696.7920999999999,104.1564711220095,405.6521,66.6079431493722,199.36239999999998,34.132410173323535
user1_,dc,100,4279.579831932774,1291.8067630044368,1020.5101,139.37059237511332,441.64590000000004,66.81169918651972,279.0979,40.84862172203611
user1_,sc,100,2983.3613445378146,688.2532292632354,887.7088,155.22494257225546,333.7123999999999,60.47681589038894,229.19920000000002,35.79487032187713
P0_,ch,20,2718.4873949579833,1029.6964106543928,749.73,119.17970099811463,167.0425,30.324388843800296,166.54399999999998,36.00495527007359
P0_,dc,20,12138.235294117647,4546.342342089582,792.1235000000001,142.5263734989072,237.7255,34.041459204182196,193.85399999999998,33.49523793018942
P0_,sc,20,9662.18487394958,2627.699784556299,605.5085000000001,114.57837750967673,206.704,28.3292010829815,173.4075,23.346478508545996
P1_,ch,20,1256.7226890756306,296.0617023542148,999.1764999999999,97.35572434505326,462.16150000000005,95.57286394552588,204.23999999999995,48.73841811138314
P1_,dc,20,4546.638655462186,659.3960543988267,1419.2885,93.66104063456699,703.576,84.15060762703978,305.10049999999995,38.75768510566646
P1_,sc,20,2743.2773109243703,872.2570674865533,1385.431,146.29329505824936,650.7845000000001,60.35290817143777,254.09049999999996,53.83956449257367
P2_,ch,20,1032.3529411764705,165.68213078868578,661.0799999999998,83.93511642929913,251.706,37.29125935122063,153.669,25.73742292849072
P2_,dc,20,4526.050420168067,653.4627984675213,808.6384999999999,83.89357664773867,328.289,41.511483700296715,287.897,34.254462789540284
P2_,sc,20,2615.126050420168,956.2367982614292,639.638,101.4592446551816,285.673,32.62285856573577,211.68,24.96910090491846
P3_,ch,20,1140.7563025210086,182.50729245707998,558.0895,69.72742985905904,182.40549999999996,29.005087566666646,125.6625,20.42158413909166
P3_,dc,20,5657.142857142858,674.1863411949009,702.3870000000001,53.374947784517786,301.08050000000003,26.78905456991717,222.7665,28.931553237771393
P3_,sc,20,3026.0504201680674,351.6874491079234,588.6845000000001,79.22930256382419,238.61749999999998,21.46864967225466,160.586,24.737781913502268
P4_,ch,20,560.5042016806723,152.1008403361345,388.7325,103.4843948561811,120.82300000000001,35.41352144308725,48.4825,18.387374710654047
P4_,dc,20,4286.134453781513,769.962884183102,905.3610000000001,130.71364564956485,550.213,49.27067465541749,334.57800000000003,48.57670332577129
P4_,sc,20,3340.7563025210084,781.9664129240576,823.3119999999999,133.78772767335576,443.762,51.22990284980052,239.3195,71.00700102630726
P5_,ch,20,849.1596638655462,306.6878649506938,528.461,148.91295604815588,122.76550000000002,46.25836815917743,142.393,33.37620306445896
P5_,dc,20,6889.495798319328,2836.4516162529253,1082.4679999999998,162.93242193007504,395.986,55.117637866657525,280.3745,52.426974781595014
P5_,sc,20,4628.151260504202,1671.8230793741898,709.451,113.70157465488332,266.103,41.18015931246504,308.938,59.70792104905346
P6_,ch,20,1253.7815126050423,666.6763175160037,561.2650000000001,112.23623013537116,150.09750000000003,63.11863115396278,206.2835,73.84155004298054
P6_,dc,20,5090.756302521009,878.0069038197503,1218.168,84.75509451354536,459.21000000000004,46.79644227930154,329.58399999999995,29.352709312770436
P6_,sc,20,2768.4873949579833,396.70163116350403,1061.0285000000001,88.0102233990461,371.67049999999995,44.50849946639407,254.26650000000004,33.01070633521797
P7_,ch,20,513.4453781512605,156.62522032763627,625.8259999999999,237.32114978231505,271.2195,128.66193020761813,154.73499999999999,71.50566575454005
P7_,dc,20,5368.487394957983,1155.699822774736,1120.7599999999998,121.77653719005147,549.5319999999999,49.20085381372969,318.0295,41.847309647694196
P7_,sc,20,3435.2941176470586,793.9491173267282,879.2810000000002,81.11724341346911,392.3655,35.21182961378178,249.10899999999998,33.36013187923572
